date,month,state_code,state_name,year,yyyymm,.geo,precip_mm,t2m_c
1981-04-01,4,688,Santa Catarina,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",125.29802322529946,17.358366260003116
1981-04-01,4,689,Sao Paulo,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",77.83526971878118,21.50591368973654
1981-04-01,4,690,Sergipe,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",106.92761556556351,24.38862747402415
1981-04-01,4,691,Tocantins,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",83.32447352312045,25.63050677896763
1981-05-01,5,665,Acre,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",114.20603596971866,24.264549541913883
1981-05-01,5,666,Alagoas,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",92.60539271406483,23.54840538946525
1981-05-01,5,667,Amapa,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",458.8308641554938,24.58464415507008
1981-05-01,5,668,Amazonas,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",209.7102043288618,25.1947685677413
1981-05-01,5,669,Bahia,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",37.74368817233164,22.03856521254353
1981-05-01,5,670,Ceara,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",46.82982141858456,26.34516700114058
1981-05-01,5,671,Distrito Federal,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",23.259637618333976,19.1277310951918
1981-05-01,5,672,Espirito Santo,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",53.400527380167006,20.32821554752441
1981-05-01,5,673,Goias,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",17.010446078525714,22.381018545762178
1981-05-01,5,674,Maranhao,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",77.78584279427965,26.47055561519969
1981-05-01,5,675,Mato Grosso,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",24.953345440390382,24.655456285368068
1981-05-01,5,676,Mato Grosso Do Sul,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",17.907666608201975,23.46077348344929
1981-05-01,5,677,Minas Gerais,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",19.883085662932476,19.512529127816137
1981-05-01,5,692,Name Unknown,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",,
1981-05-01,5,678,Para,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",161.5105033642204,25.35423907184248
1981-05-01,5,679,Paraiba,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",36.37890599481404,25.027495853314758
1981-05-01,5,680,Parana,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",32.67729721757592,18.566528593650865
1981-05-01,5,681,Pernambuco,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",35.14596523421156,23.44698399186367
1981-05-01,5,682,Piaui,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",21.33233044433729,26.00428861366913
1981-05-01,5,683,Rio De Janeiro,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",28.965602900487266,20.060599874326048
1981-05-01,5,684,Rio Grande Do Norte,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",44.40938553028942,26.7343142982445
1981-05-01,5,685,Rio Grande Do Sul,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",89.75583317823205,18.566167267146813
1981-05-01,5,686,Rondonia,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",69.89353855819739,24.98597679066646
1981-05-01,5,687,Roraima,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",341.1249545086712,24.02927830573472
1981-05-01,5,688,Santa Catarina,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",52.03778283276082,16.838352948581736
1981-05-01,5,689,Sao Paulo,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",22.805333818332777,20.5081808963329
1981-05-01,5,690,Sergipe,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",80.37432902034989,23.493289736285856
1981-05-01,5,691,Tocantins,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}",10.8673440096176,26.363557362193355
1981-06-01,6,665,Acre,1981,198106,"{""type"":""MultiPoint"",""coordinates"":[]}",58.97095661636786,22.88346516301844
1981-06-01,6,666,Alagoas,1981,198106,"{""type"":""MultiPoint"",""coordinates"":[]}",84.08625403179455,22.95705905871062
1981-06-01,6,667,Amapa,1981,198106,"{""type"":""MultiPoint"",""coordinates"":[]}",227.57452380454333,24.674030600849203
1981-06-01,6,668,Amazonas,1981,198106,"{""type"":""MultiPoint"",""coordinates"":[]}",136.74950474779143,24.55627733866272
1981-06-01,6,669,Bahia,1981,198106,"{""type"":""MultiPoint"",""coordinates"":[]}",30.291932777428745,21.518362976584484
1981-06-01,6,670,Ceara,1981,198106,"{""type"":""MultiPoint"",""coordinates"":[]}",13.718160342203564,26.410200942129475
1981-06-01,6,671,Distrito Federal,1981,198106,"{""type"":""MultiPoint"",""coordinates"":[]}",12.663376734944343,18.871019761897667
1981-06-01,6,672,Espirito Santo,1981,198106,"{""type"":""MultiPoint"",""coordinates"":[]}",42.165104176738026,19.39128015278469
1981-06-01,6,673,Goias,1981,198106,"{""type"":""MultiPoint"",""coordinates"":[]}",18.8387089066779,20.993958189256347
