,year,month,spei3,spei6,spei12,date_t
235,2000,8,0.6084047798601439,0.33665323881088766,0.7486176150801399,2000-08-01
236,2000,9,1.3056260898602385,0.5445804135567097,0.8852816089139222,2000-09-01
237,2000,10,0.11724411744220053,0.08308216814769927,0.6819371843953111,2000-10-01
238,2000,11,0.3389122460365669,0.5197807802619024,0.7351335583857297,2000-11-01
239,2000,12,-0.03500320800011063,0.5741322597360667,0.7330342911297687,2000-12-01
240,2001,1,-0.10963730711224264,0.01055107627812499,0.2505980598513994,2001-01-01
241,2001,2,-0.783388299722735,-0.4207445266205491,-0.1623889219357832,2001-02-01
242,2001,3,-1.0398084638276992,-0.8523786194524868,-0.4692738551553434,2001-03-01
243,2001,4,-1.2209431949283187,-0.8140699317661073,-0.6110728595727327,2001-04-01
244,2001,5,-0.5946538092915913,-0.99742613574837,-0.516246811723478,2001-05-01
245,2001,6,-0.735641750692478,-1.2175072004414615,-0.526054002715141,2001-06-01
246,2001,7,0.21754501226684472,-1.0088046385954204,-0.5958758924961237,2001-07-01
247,2001,8,-0.023214271238597373,-0.5934214470529598,-0.6725473489224391,2001-08-01
248,2001,9,0.40586296899941016,-0.3313758337214216,-0.7985832353732716,2001-09-01
249,2001,10,0.5334194395182733,0.6032523838021147,-0.40217799476058325,2001-10-01
250,2001,11,0.8220443500370185,0.6751744305361528,-0.3433049726245866,2001-11-01
251,2001,12,0.7612331532050125,0.7380794605480805,-0.3089716651084502,2001-12-01
252,2002,1,0.6854743595436009,0.6829624063743158,0.028047028192103654,2002-01-01
253,2002,2,0.7347306224209554,0.956380929043666,0.5568434762516826,2002-02-01
254,2002,3,0.10464805285822495,0.6472317486122967,0.4725941385050384,2002-03-01
255,2002,4,-0.2726664351875027,0.37345368862731115,0.5239060335824208,2002-04-01
256,2002,5,-0.9520255069781962,0.1479396654010832,0.43590067560517987,2002-05-01
257,2002,6,-0.9898845514150109,-0.13713045305173496,0.38981646966438305,2002-06-01
258,2002,7,-0.5881222391257434,-0.4017020649099663,0.36153771392846334,2002-07-01
259,2002,8,-0.8853485865217845,-1.0666283793772502,0.3315785724164624,2002-08-01
260,2002,9,0.42239972735614884,-0.46533254013400666,0.3738477950299468,2002-09-01
261,2002,10,-0.5996189547419137,-0.7192037322091037,0.02869867963269335,2002-10-01
262,2002,11,-0.7106149363859884,-0.7991014045973852,-0.2738612774732713,2002-11-01
263,2002,12,-0.7456079131650891,-0.4896394073608434,-0.3981162194866198,2002-12-01
264,2003,1,0.25797776073913314,-0.007706395433812174,-0.21837761744625783,2003-01-01
265,2003,2,0.11013010318350469,-0.27890875844026713,-0.7564833390941497,2003-02-01
266,2003,3,-0.1403878118232406,-0.5610200261656357,-0.6291471753718384,2003-03-01
267,2003,4,-0.847598611089916,-0.19286579546108254,-0.4816458794211505,2003-04-01
268,2003,5,-0.38497882933518995,-0.05911227613285388,-0.4963632981220323,2003-05-01
269,2003,6,-0.4630813430344839,-0.19267740272273529,-0.4655084638891797,2003-06-01
270,2003,7,-0.4881514397613166,-0.9345392692296196,-0.4738738403420062,2003-07-01
271,2003,8,-0.2760783981061869,-0.42430773839396807,-0.41337917894627707,2003-08-01
272,2003,9,-0.06861768770066985,-0.4282310439255928,-0.5607388727543363,2003-09-01
273,2003,10,-0.2508239902776584,-0.47002864677809925,-0.2847213064258785,2003-10-01
274,2003,11,-0.5841882189530678,-0.6609588157051783,-0.3281426802087624,2003-11-01
275,2003,12,-0.6053327134914555,-0.6095058504590376,-0.5274889247359603,2003-12-01
276,2004,1,-0.02686509264688682,-0.10605386084918021,-0.6077262131844374,2004-01-01
277,2004,2,0.7417051911924608,0.3328414627870774,0.07132358595192298,2004-02-01
278,2004,3,0.7502180507850225,0.38909173706241434,0.2565424709173807,2004-03-01
279,2004,4,1.0352775882874359,0.684235201799892,0.47497342208826326,2004-04-01
280,2004,5,0.7130207778916199,0.917428966766418,0.5451208714060317,2004-05-01
281,2004,6,1.19944430222003,0.9827669983802304,0.5888166468604804,2004-06-01
282,2004,7,1.0690562379278339,1.221337358781198,0.7086639267155158,2004-07-01
283,2004,8,0.8140950413050755,0.8297946845450274,0.6420828955067888,2004-08-01
284,2004,9,-0.21547924916319247,0.7960753404541996,0.5624382551047734,2004-09-01
285,2004,10,-0.42186385647260427,0.12687465403544726,0.6553702129289397,2004-10-01
286,2004,11,-0.49266246574512484,-0.3122962395501061,0.7302514896860499,2004-11-01
287,2004,12,-0.026600585169566163,-0.11414048391190729,0.7665115584340313,2004-12-01
288,2005,1,0.1932252933206445,-0.04113977810718729,0.7188965244729549,2005-01-01
289,2005,2,0.5775148239221227,0.20022432009763597,0.5305257967815747,2005-02-01
290,2005,3,0.5749173363615493,0.48514961452879657,0.6395612355736155,2005-03-01
291,2005,4,0.32580744177429694,0.30994886284459683,0.31073588579372935,2005-04-01
292,2005,5,0.3913406377001919,0.6494281706168974,0.3875221190206343,2005-05-01
293,2005,6,0.3545768195849948,0.6130242997394586,0.4154932181572258,2005-06-01
294,2005,7,1.0024268473056204,0.5468451785613471,0.2904838508321758,2005-07-01
295,2005,8,0.30581975055737676,0.36756169065056205,0.30096895715680544,2005-08-01
